M$,NSF - Nuclear
0.284233,"The development of novel methods in nuclear many-body theory is critical for the study of phenomena at the frontiers of astrophysics, mesoscopic science, fundamental physics and technology. As a mesoscopic system, the atomic nucleus reveals the transition from the macroscopic world, with pronounced statistical regularities, to the microscopic world, where individual quantum states can be identified and studied. In this project, using the atomic nucleus as a research laboratory, powerful theoretical methods will be developed for the study of generic properties of many-body systems, such as shell structure, superfluidity and superconductivity, particle decay and radiation, the onset of chaotic dynamics and its interplay with collective motion. The project puts a strong emphasis on the development of cross-disciplinary theoretical methods with applicability to various strongly-correlated many-body systems. Applications of these methods provide insights in a variety of nuclear physics phenomena, such as beta decay, charge-exchange reactions, electron capture, two-neutrino and neutrino-less double beta decay, and the weak interaction processes. The work pursued here will support in part the experimental programs concerning the physics of stable and exotic nuclei at radioactive beam facilities.<br/><br/>The objective of the proposed work is to find self-consistent high-precision solutions of the nuclear many-body problem, where masses, matter and charge distributions, spectra, decay and reaction rates can be calculated within the same framework at zero and finite temperatures. The mathematical apparatus for the generalized covariant response theory will be advanced beyond the existing formulation by means of Green's function techniques, involving extra dimensions accounting for nuclear superfluidity effects. The effects of coupling between single-particle and emergent collective degrees of freedom, coupling to the continuum and the formation of bubbles, skins and other exotic geometries will be included on equal footing. The project helps to answer fundamental questions, such as: What is the origin of chemical elements? Where are the limits of nuclear stability? What are the masses of neutrinos? The developed approach will allow for the consistent astrophysical modeling of such competing processes as beta-decay and neutron capture, and thereby remove the ambiguities arising from the nuclear physics input. This project will provide students with an intensive training of their analytical and numerical skills, serving as a basis for their future careers in industry and academia."
0.5219,"The research proposed here is primarily for two projects. The first is a search for a type of particle known as a scalar meson, which has the same quantum numbers as a theoretical particle called the ""glueball"". The latter is conjectured to be a bound system of only gluons, which are the force-carrying particles in the theory of QCD (quantum chromodynamics). In practice, real particles are a quantum-mechanical mixture of scalar mesons and the hypothetical glueball, so studying the properties of the scalar mesons gives a direct connection with the predictions of QCD. Scalar mesons have been observed in some hadron-beam experiments, but there is scant evidence of these mesons in photon-beam experiments like the ones proposed at Jefferson Lab. This research project will provide definitive results on scalar meson rates produced at the CLAS12 detector at Jefferson Lab. The second project is a hadronic-beam experiment to be carried out at the J-PARC facility in Japan. This experiment will explore the production rate of final states where two pi-mesons are detected. The last data of this sort was taken back in the 1970s, and now precise data for this final state are needed as input to theoretical calculations of nucleon resonances. A nucleon resonance is an excited state of the proton, which can decay into a proton and one or more pi-mesons (or other particles). The nucleon resonance spectrum is important because it tells us about how quarks interact with each other inside the proton. The nucleon resonance spectrum can now be calculated using a theoretical technique called lattice QCD, which is based on the theory of QCD.<br/><br/>Understanding the theory of QCD (quantum chromodynamics) is one of the most important aspects of nuclear physics today. QCD is responsible for the binding of quarks inside the proton, and also for the binding of protons and neutrons inside the nucleus. Hence, QCD is essentially the theory that leads to a better understanding of nuclear energy and other nuclear applications. While today's applications of nuclear processes, such as nuclear medicine, can be understood in terms of phenomenology, the applications of the future may well depend on an understanding of QCD. Calculations based on the theory of QCD are difficult, requiring large computers, and such complex calculations need to be tested experimentally. The research proposed here is one such experimental test that can lead to a better understanding of the nuclear force. Other broader impacts resulting from this research are the training of graduate students in building leading-edge instrumentation and in computational analysis."
0.12,"The research funded by this award is designed to promote a better understanding of atomic nuclei, the basic building blocks of all normal matter in the Universe. How did they form following the Big Bang, and how do they now interact to change their basic elemental nature? Are there new forms of matter made up from very exotic types of atomic nuclei and how might we make and study these? To this end the group will develop special new techniques in nuclear science, as well as train future scientists that can help answer some of these questions. One important training component will be a continuation of the well-established and highly successful outreach to faculty and students at New Buffalo High School in Michigan that has introduced these students to interesting, important, and exciting careers in the sciences. The technology developed and used in this research will have applications in other important areas, such as homeland security (nuclear terrorism), the safe storage and monitoring of nuclear wastes, and applications in nuclear medicine, including radiation therapy. The latter includes a new modality directly related to this research: the production and imaging of ion beams to treat particular forms of cancer tumors. Nearly 50% of graduate students and other personnel trained in the group's past research projects are currently pursuing careers in nuclear security or nuclear medicine, and it is anticipated that this will continue as a result of the present grant.<br/><br/>The proposed project will involve the study of nuclear reactions utilizing stable as well as short-lived radioactive nuclear beams, together with the development of instrumentation, techniques, and apparatus to facilitate such studies. This includes use of the TwinSol low-energy radioactive ion-beam facility in operation at the University of Notre Dame (ND), developed jointly by the University of Michigan (UM) and ND. Specific experiments will emphasize the investigation of the structure and reaction mechanisms of neutron- and proton-rich nuclei near the limits of nuclear stability to elucidate the effect that the exotic ""nuclear halo"" structure, which appears for weakly-bound systems at the limits of stability, has on fusion, transfer, inelastic excitation, and breakup probabilities near the Coulomb barrier. Of particular interest here is the influence that higher-order couplings to and within the continuum have on the various reaction mechanisms, since proximity to the continuum is the characteristic defining feature of weakly-bound systems. These studies will be carried out at TwinSol in collaboration with a group from the National Superconducting Cyclotron Laboratory (NSCL), utilizing a prototype active-target time-projection chamber (AT-TPC). A related program will use the full AT-TPC recently commissioned at the reaccelerated beam facility (ReA3) at NSCL. <br/><br/>In addition, the UM-UND collaboration, under the primary direction of the UM research group and their colleagues, will continue advanced development and application of deuterated scintillators for nuclear measurements involving neutrons. This will include selected measurements of (d,n) and (3He,n) reactions involving both stable and unstable beams, and in particular 7Be(d,n) which is of interest in astrophysics. Since these detectors permit neutron spectroscopy and cross section measurements without neutron time-of-flight, they have a particular advantage when used with the high-intensity, low-energy, non-pulsed accelerators suitable for nuclear astrophysics measurements. The latter includes the new 5 MV accelerator recently installed at ND and we will pursue such experiments, and in particular several key (A,n) measurements, together with the nuclear astrophysics group at ND. <br/><br/>The unique neutron detector array the group has recently developed has potential for wide-spread applications both in nuclear science as well as in homeland-security and nuclear non-proliferation. As in the past, the proposed work will involve graduate and undergraduate students from ND and UM, together with faculty members and students from several primarily undergraduate schools located in close proximity to these universities. The highly-technical nature of the proposed research will thus contribute significantly to the training of a technically-literate work force."
0.265,"This project focuses on a fundamental research challenge of modern nuclear physics, namely to understand the structure and interactions of the basic building blocks of the visible matter, protons and neutrons known collectively as nucleons, in terms of Quantum Chromodynamics (QCD), the theory of the strong forces in nature. Nucleons, are composed of a variety of quarks confined by the quanta of the strong nuclear fields known as gluons. In order to explore the nucleon structure we perform electron scattering experiments where sophisticated particle detectors are utilized as powerful microscopes in order to determine the detailed dynamics of quark constituents. This in turn provides an important input for testing and understanding QCD.<br/><br/>This project involves four experimental activities, three of which will take place at the Thomas Jefferson National Accelerator Facility (TJNAF) while the fourth one will occur at the MAMI Microtron in Mainz, Germany. At TJNAF, first, a high precision measurement of the nucleon excitation to the Delta resonance will shed light on the mechanisms responsible for the presence of non-spherical components in the nucleon wave-function, with an emphasis on the role of the pion cloud to the nucleon dynamics. Second, in a separate experiment we will explore deep inelastic electron scattering off triton (2 neutrons + 1 proton) and helium-3 (1 neutron + 2 protons) mirror nuclei to determine the ratio of the up over down valence quark momentum distributions in a free proton, and advance our understanding of the effect of the nuclear medium on these momentum distributions. Third, a measurement of the J/Psi meson electroproduction cross section near threshold off a proton will enable us to explore the non-perturbative gluonic interaction between the J/Psi and the proton. This measurement might reveal an enhancement of the cross section just above threshold which could be indicative of the important role conformal anomaly contribution plays in QCD.<br/><br/>At the MAMI Microtron, the first high precision measurement of the Virtual Compton Scattering reaction on the nucleon resonance will allow the investigation of the electric generalized polarizability of the proton, meaning how stiffly the nucleon responds to an external electric field. The experiment will also allow for the first exploration of the nucleon excitation through a purely electromagnetic photon channel.<br/><br/>The project will enhance the infrastructure for research by building instrumentation for nuclear physics experiments, primarily at TJNAF, and by supporting international collaborative research efforts. The research activities will also contribute to science education by providing topics for PhD theses in nuclear physics, thus training a new generation of nuclear scientists. Furthermore, the opportunities for training students at the undergraduate level with hands on hardware experience will advance nuclear science education, which is essential to ensure a broad, basic knowledge of nuclear science in society."
0.018967,"Life on Earth traces its origins back to a single common ancestor that lived nearly four billion years ago. Yet today, life has diversified into tens of millions of species. Reconstructing these evolutionary relationships is the aim of phylogenetics, and its insights are critical to nearly all areas of biology. The genomics revolution is radically altering the historically data-limited field of molecular phylogenetics and genome-scale data are now easily generated for any organism. Yet, simply collecting more genetic data, on its own, will not be sufficient to resolve difficult branches on the Tree of Life because some genes will support different evolutionary histories than others. This project addresses the questions of which genes and which DNA positions in those genes are most informative for resolving deep amphibian relationships, and conversely, which may be misleading. Amphibians (frogs, salamanders, and caecilians) are an ancient and diverse group typifying many of the difficulties of reconstructing deep phylogeny. The relationships among the three amphibian orders have proven one of the most difficult portions of the vertebrate phylogeny to resolve. This work may serve as a general framework for tackling thorny problems in phylogenetics and builds important avenues for graduate training in bioinformatics, high-throughput sequencing analysis, and model-based phylogenetic reconstruction - key skills in this post-genomic era. The research will integrate undergraduate researchers from traditionally under-represented groups across rural Appalachia and Kentucky. This research is of broad interest to evolutionary biologists working on amphibians, and stands to make important contributions to amphibian systematics. It addresses questions about how we analyze genomic data to accurately reconstruct deep evolutionary relationships.<br/><br/> The researchers will test hypotheses about the source of conflicting phylogenetic signals from mitochondrial and nuclear genomes by analyzing site-specific patterns of topological support across nuclear genes that interact with the mitochondrion and ribosomes. The researchers will use a well-developed amphibian system in which previous analyses of complete mitochondrial genomes, nuclear ribosomal RNA, and >300 putatively neutral nuclear exons have each strongly supported conflicting scenarios for basal amphibian divergences. This project tests the hypothesis that mitochondrial and ribosomal genes and their nuclear-encoded functional counterparts support the same tree topologies due to compensatory co-evolution between mitochondrial and nuclear genomes. Leveraging genomic resources, the researchers will develop a targeted capture kit to sequence multiple exons of 225 nuclear genes that functionally interact with the mitochondrion and ribosomes in 144 amphibian taxa, representing each major lineage. Examining the relative support for different inter-ordinal topologies across sites in each locus, and with knowledge of which portions of these nuclear loci physically interact with rRNA or mitochondrial-encoded proteins, this project will test whether particular nuclear-encoded genes yield conflicting topologies because of constraints on organellar structure and function."
0.299106,"The Hope College Nuclear Group is studying neutron-rich unstable nuclei near the drip-line with the Modular Neutron Array (MoNA) and Large area multi-Institutional Scintillation Array (LISA) at the National Superconducting Cyclotron Laboratory (NSCL) and is applying a variety of nuclear techniques (e.g. Particle Induced X-Ray Emission, Rutherford BackScattering, Nuclear Reaction Analysis, and Ion Beam Induced Luminescence) to a range of interdisciplinary questions with the Hope Ion Beam Analysis Laboratory (HIBAL). In addition, work to harvest isotopes with medical and stewardship applications is moving from development to production. This award supports two faculty in both of these efforts, each of whom will include undergraduate researchers in all aspects of the research.<br/><br/>Undergraduate students and faculty are investigating unstable neutron-rich nuclei to refine the theoretical understanding of light, neutron-rich nuclei. The group is measuring the excited states of 9He and the ground state of 13Be with the MoNA/LISA/Sweeper system at the NSCL. The interdisciplinary portion of the research involves developing techniques to harvest isotopes of strategic and medical interest at the NSCL and future Facility for Rare Isotope Beams (FRIB) and examining, with HIBAL, metalloprotein stoichiometry, forensic characterization of layered automotive paints, forensic comparison of auto glass fragments, and luminescence studies of feldspars and carbonates. Collaborators include other Hope researchers (characterizing structured nanomaterials) and groups outside Hope College (metal contamination in sediment, river sediment origins, and flame retardants). All of these initiatives are important for the specific science result they yield and for possible far-reaching impact on the analytical techniques used in many areas. The Hope College Nuclear Group has demonstrated its ability to carry out similar research for a number of years, and the new experiments are designed to match our interests and abilities.<br/><br/>Additionally, this project has a significant impact on a large number of undergraduate researchers. Experience shows that undergraduate research enhances a student's education and better prepares the student for graduate work or for a wide variety of STEM careers in either industry or academia."
0.422821,"The present CAREER award integrates research and educational components focused on the understanding of nuclear properties and their application to the interdisciplinary field of nuclear astrophysics. The main focus of the research is to address the question: How were the heavy elements made? The research component aims at the study of the decay properties of exotic nuclei utilizing the technique of Total Absorption Spectroscopy (TAS). Measurements will focus on nuclei along the rapid-neutron-capture process (or r-process), which is believed to be responsible for the origin of half of the heavy elements. The measurements will build on the previous experience of the PI in the development and use of a Total Absorption Spectrometer and will utilize existing equipment at the National Superconducting Cyclotron Laboratory together with the implementation of new proposed equipment, in this case a tape transport system for the removal of background activity from the detection area.<br/><br/>The technical focus of the research is through the measurement of beta-decay strength distributions of nuclei along the astrophysical r-process. The beta-decay strength distribution is the only reliable parameter for constraining the theoretical models used in r-process calculations and improving their predictive power. <br/><br/>The PI will also establish a unique, new one-week summer school for rising juniors in the area of nuclear physics. The school will be available to 12 students each summer and provide hands-on laboratory activities as well as instruction in nuclear physics. Students from schools that do not offer an undergraduate course in nuclear physics will benefit from this summer school. Ultimately it is important to increase the number of graduate students in the field of low-energy nuclear structure physics, which is important not only for the basic science addressed, but as a training ground for skilled workers in critical areas of homeland security."
0.48,"This project continues an interdisciplinary program to develop fundamental theories of many-particle systems, ranging from ultradense nuclear matter in ultrarelativistic heavy ion collisions and in neutron stars to ultracold atomic and condensed matter systems. Nuclear theory will be applied to study the properties of matter formed under extreme conditions of temperatures and pressures, to matter in neutron stars, with the aim of understanding observations and experiment and, conversely, using observations of neutron stars to learn properties of matter under extreme conditions. This research makes important interdisciplinary connections between nuclear and QCD problems and cold atom systems and will apply expertise in quantum fluids to predict the behavior of dilute helium solutions used in the proposed experiment at the Oak Ridge National Laboratory Spallation Neutron Source to detect the electric dipole moment of the neutron.<br/><br/>Understanding new states of matter and connections between them provides broad intellectual insights into the basic properties of matter ranging from the hottest to the coldest many-particle systems in the universe. By integrating students and post-doctoral fellows into a diverse program that crosses the traditional boundaries between nuclear, particle, condensed matter and atomic physics, the PI and his colleagues provide unique opportunities for young researchers to think and create across disciplines. The scientists trained in this program have generally gone on to have significant impact in research at U.S. universities and national laboratories, as well as abroad."
0.386738,"Introduction<br/><br/>This research project will analyze and communicate important societal issues having to do with the disposal of nuclear waste. Unlike the vast majority of scholarly inquiries, which culminate in journal articles or a book, this inquiry will result in a feature length documentary about the scientific, political, and ethical issues adjacent to the problem of the socially responsible disposal of nuclear waste. Though the reach of the film will extend beyond any particular site, the focal point of the study is the only fully-licensed, operating geological repository for nuclear waste in the world: the Waste Isolation Pilot Plant twenty-six miles east of Carlsbad, New Mexico.<br/><br/>Intellectual Merit<br/><br/>The project will track the contentious history of current and planned clean-up operations involving the Pilot Plant. It will depict a disputed, sometimes successful and sometimes failed, trading zone for very different (often antagonistic) stakeholders from experts, to townspeople, politicians, miners, activists, industrial engineers, and futurists. Trading-zone studies, a methodological approach within the research area known as Science and Technology Studies (STS), interrogate subcultures confronting one another and developing coordinated local action where global agreement is often absent. In this trading-zone study, the investigator is ethically, visually, and methodologically committed to depicting that collision as all sides struggle to shape an contested nuclear future. The use of film as a medium for presenting the results of the trading-zone study is innovative and potentially transformative; it could open a way for STS to investigate in a visual way the making of science and technology policy.<br/><br/>Potential Broader Impact<br/><br/>This project will reach a broad audience by partnering with outreach organizations, Film Sprout and Working Films, to bring the film to its core audience: policy makers, environmentalists, along with groups and citizens traditionally not positioned to participate in science policy. Target locales and groups include science museums such as the Bradbury Science Museum (Los Alamos), the Atomic Testing Museum (Las Vegas), The Museum of Science and Industry (Albuquerque), nuclear facilities, towns surrounding them, and environmental groups."
0.374383,"Atomic nuclei occurring in nature tend to have the same number of neutrons and protons. For larger nuclear masses, this is attributed to the symmetry energy, a contribution to the nuclear energy associated with neutron-proton imbalance, that becomes larger the larger the imbalance. Nuclei with large imbalance can decay to more energetically favored products and, when that imbalance is excessive, the nuclei cannot even be formed. Understanding the symmetry energy is essential for extrapolating from the properties of existing nuclei to neutron stars kept stable by gravity while at the verge of collapse to black holes. In their efforts, the inverstigators will rely on their complementary expertise and will benefit from the expertise in nuclear structure of other members of the National Superconducting Cyclotron Laboratory (NSCL) Nuclear Theory Group and from the expertise in nuclear astrophysics of the members of the Joint Institute for Nuclear Astrophysics (JINA), housed partly at Michigan State University.<br/><br/>This project will advance our understanding of nuclear reactions, emphasizing aspects pertaining to the so-called nuclear symmetry energy. The symmetry energy governs average evolution of nuclear properties with neutron-proton imbalance that is now easier to vary experimentally given the modern existing and planned accelerators that can accelerate short-lived isotopes. The symmetry energy is important for extrapolating from the properties of the nuclei to those of neutron stars. The latter are macroscopic nuclear systems made stable, right at the verge of collapse into a black hole, by opposing forces of gravity and pressure tied to the dependence of symmetry energy on nuclear density. The symmetry energy at densities higher than normal for nuclei is studied using observables from central collisions of heavy nuclei, in particular charged pion ratios and collective flow. The investigators will improve on theoretical descriptions of those central collisions, by incorporating dynamic production of alpha particles into transport theory for the collisions. Because of large binding energy per nucleon and equal proton and neutron numbers, alpha particles are, on one hand, rather copiously produced and, on the other, they significantly change relative neutron-proton imbalance in their surroundings; hence their importance. The symmetry energy at normal and subnormal densities will be studied by simultaneously interpreting data from elastic scattering and charge exchange reactions, thus learning about differences in the neutron and proton distributions in those nuclei that have neutron-proton imbalance. Finally, the investigators will extract optical potentials of neutrons and protons from many-body theory relying on fundamental interactions, paying particular attention to the dependence of those potentials on neutron-proton imbalance. The fundamental extraction can help to reduce ambiguities in the interpretations of peripheral reaction experiments."
0.27,"The goal of the award is to devise efficient computational methods for performing risk and safety analyses of nuclear power plants. A recent international effort of the Nuclear Energy Agency formulated a new framework, known as risk-informed safety-margin characterization, to address several critical issues facing the nuclear industry today. The impacts of these developments, which include extending licenses for aging facilities and operating them at higher power levels, can profoundly affect safety margins, and there is an urgent need to better understand the risks in the changes. Indeed, the catastrophic 2011 accident at the Fukushima Daiichi plant in Japan clearly shows the utmost importance of accurately measuring risk. In addition to performing efficient nuclear safety analyses, the techniques may also be applied to attack problems in civil and mechanical engineering, catastrophe modeling, and finance.<br/><br/>This research combines theoretical and practical components, including designing new Monte Carlo algorithms, formally establishing their validity, and implementing them to analyze risks of existing nuclear plants. The core of the work will focus on variance-reduction techniques for efficient simulation for performing risk and safety analyses of nuclear facilities. Because current simulations can require enormous computational effort, applying variance reduction is essential for performing safety analyses. If successful, the new methods will profoundly reduce computation time, perhaps by orders of magnitude. To further account for the statistical error of the resulting estimators, the investigator also plans to produce asymptotically valid confidence intervals."
0.226605,"The cell nuclear envelope is the physical barrier between the cytoplasm and the nucleus. The envelope regulates gene expression by allowing the access of proteins to DNA through passageways called nuclear pores. The nuclear envelope is unique in that it has two lipid bilayers (not one as is the case with cell membranes). The bilayers are maintained at a regular (and large) distance of nearly 45 nm. How these two bilayers are maintained at that regular spacing, and how they fuse together to form nuclear pores are current open questions in biology; this award is focused on answering these questions. By discovering an explanation for protein-mediated control of bilayer separation, this research will ultimately help develop new strategies for treating diseases that have been linked to mutations in the nuclear envelope proteins. The research program will provide opportunities to recruit outstanding students from underrepresented groups at the University of Houston (UH) and the University of Florida (UF). The findings of the research will be disseminated through journal publications, conference presentations and graduate and undergraduate courses at UH and UF.<br/><br/>This award will promote a collaborative partnership between investigators involving experiments, modeling and simulations to elucidate the fundamental physics that underlies nuclear lipid bilayer structure. The experimental work will discover how SUN proteins, which are conserved across different eukaryotic cell types and link the nucleus to the cytoskeleton maintain lipid bilayer structure and integrity. Theoretical work will seek to interpret the experimental findings in the framework of continuum mechanics, by computing the energetics of bilayer separation and fusion. The numerical and experimental findings will be used together to explain the mechanism of bilayer separation."
0.495,"Nuclear astrophysics is the application of nuclear physics knowledge obtained from laboratory studies to the universe and its contents. This is essential for understanding how the chemical elements are produced, the ways stars are powered, what causes exploding stars called supernovae, the origin of cosmic rays, and more. A key research frontier is based on using neutrinos, subatomic particles that have no electric charge and very little mass, and which barely interact with matter. This makes neutrinos hard to detect, but allows them to escape from and thus reveal physical conditions in the deep interiors of astrophysical objects. The unique information they carry will help resolve longstanding questions in nuclear astrophysics. Research is needed to further develop detection techniques and to draw conclusions from the data. There is high demand for students and postdocs trained in this research area. The topics covered, which also include black holes, dark matter, and the universe itself, capture the imagination of the public and attract young people to explore careers in science. <br/><br/>This project is intended to lead to significant gains in our understanding of astrophysical objects and neutrinos themselves. The knowledge of theoretical physics and astrophysics will be applied to help lead to new detections of astrophysical neutrinos and to develop new understandings from that data. A central focus of this project is on the Diffuse Supernova Neutrino Background, the cosmic flux of neutrinos and antineutrinos produced by the explosions of massive stars over the past several billion years. This flux has not been detected yet, but it is within reach, and careful work is needed to help isolate this faint signal. Related topics include detecting other astrophysical neutrino sources, the nature of supernovae, and the properties of neutrinos. Junior scientists supported by the grant will be mentored in the full range of skills needed to be successful in their future careers. To maximize broader impacts, the work integrates efforts in research, mentoring, teaching, and outreach, with a focus on underrepresented populations, including the Deaf and Hard of Hearing.<br/><br/>This award is supported jointly by the Theoretical Nuclear Physics Program in the Division of Physics, the Stellar Astronomy and Astrophysics Program in the Division of Astronomical Sciences and the MPS Office of Multidisciplinary Activities."
0.008008,"A team of researchers at Louisiana State University will address the significant computational challenges inherent to modeling the intricate dynamics of atomic nuclei, which are fundamental to a vast array of astrophysical phenomena. They will do so by employing the petascale resources of the Blue Waters Supercomputer. More specifically, the investigators will carry out large-scale computations of intermediate-mass nuclei from oxygen to argon, including exotic unstable isotopes that are the focus of current and next-generation rare isotope experimental facilities. Such nuclei are often found key to understanding processes in extreme environments, from stellar explosions to the interior of nuclear reactors. Reliable nuclear structure information provided by this research project will have impacts on basic research questions in astrophysics and neutrino physics, and will also have potential applications in areas like nuclear energy, thus contributing to the nation's energy infrastructure. Training in utilizing large-scale computational resources will be provided to, the next generation of physicists, and the team will expand the impact of their research by providing nuclear structure information of unprecedented accuracy and scope as a publicly available database for use by other scientists. <br/><br/>The LSU team's approach is to solve the Schrodinger equation for a many-body quantum system composed of protons and neutrons interacting via realistic interactions that are tied to the underlying quark/gluon considerations. The solution to this problem is achieved by finding eigenstates and eigenvalues of the nuclear Hamiltonian, which is computed in a physically relevant basis that capitalizes on exact and approximate symmetries of nuclei. The use of such symmetries is a unique feature of our model, one that coupled with the Blue Waters capabilities makes solutions feasible. Namely, the team will employ the symmetry-adapted no-core shell model approach implemented by a highly scalable computer code, dubbed ""LSU3shell"", that has already demonstrated good scalability and performance on the Blue Waters system. Calculations will provide nuclear properties of short-lived neutron-deficient and neutron-rich isotopes with little to no available experimental data that are expected to have a considerable impact on modeling X-ray burst observables, on triggering processes responsible for the synthesis of many of the heavy elements present in the universe, and on providing a stringent test of fundamental symmetries in nature and physics beyond the Standard model."
0.353,"Nuclear Science is tasked with answering questions such as: (i) How did matter come into being and how does it evolve? (ii) How does subatomic matter organize itself and what phenomena emerge? (iii) How can the knowledge and technology progress provided by nuclear physics best be used to benefit society? Providing answers to these questions depends on a detailed theoretical understanding of nuclear reactions, a field in which current approaches are either outdated or limited to a small number of applications. In this larger context, this project will focus on the theoretical study of deuteron-induced reactions. Due to the short lifetimes involving exotic nuclei, direct neutron capture measurements of relevance to the origin of the heavy elements are often not possible. Indirect techniques like deuteron induced reactions are a common tool to extract the relevant astrophysical rates. These reactions are part of ongoing experimental programs at radioactive beam facilities, as well as programs at future facilities such as the Facility for Rare Isotope Beams (FRIB). As such, this project will provide theoretical support to challenging experimental programs and will provide a unique training opportunity for graduate students and post-doctoral fellows.<br/><br/>A reliable reaction theory is critical for the understanding the data produced at experimental programs using (d,p) reactions. From a theoretical perspective, (d,p) reactions are attractive because the scattering can be reduced to an effective three-body problem. One of the most challenging aspects of solving the three-body problems for nuclear reactions is posed by the repulsive Coulomb interaction. While for light nuclei the momentum-space Faddeev equations can be treated by screening the Coulomb force, a similar approach is difficult to implement for heavy systems. Indeed, for most of the new exotic nuclei to be produced at FRIB, currently available computational methods are not adequate. This project will address this critical need and provide an implementation of an exact Faddeev method for the three-body nuclear reaction problem, in which the Coulomb force will be treated without screening."
0.0075,"A team of researchers at Louisiana State University will address the significant computational challenges inherent to modeling the intricate dynamics of atomic nuclei, which are fundamental to a vast array of astrophysical phenomena. They will do so by employing the petascale resources of the Blue Waters Supercomputer. More specifically, the investigators will carry out large-scale computations of intermediate-mass nuclei from oxygen to argon, including exotic unstable isotopes that are the focus of current and next-generation rare isotope experimental facilities. Such nuclei are often found key to understanding processes in extreme environments, from stellar explosions to the interior of nuclear reactors. Reliable nuclear structure information provided by this research project will have impacts on basic research questions in astrophysics and neutrino physics, and will also have potential applications in areas like nuclear energy, thus contributing to the nation's energy infrastructure. Training in utilizing large-scale computational resources will be provided to, the next generation of physicists, and the team will expand the impact of their research by providing nuclear structure information of unprecedented accuracy and scope as a publicly available database for use by other scientists. <br/><br/>The LSU team's approach is to solve the Schrodinger equation for a many-body quantum system composed of protons and neutrons interacting via realistic interactions that are tied to the underlying quark/gluon considerations. The solution to this problem is achieved by finding eigenstates and eigenvalues of the nuclear Hamiltonian, which is computed in a physically relevant basis that capitalizes on exact and approximate symmetries of nuclei. The use of such symmetries is a unique feature of our model, one that coupled with the Blue Waters capabilities makes solutions feasible. Namely, the team will employ the symmetry-adapted no-core shell model approach implemented by a highly scalable computer code, dubbed ""LSU3shell"", that has already demonstrated good scalability and performance on the Blue Waters system. Calculations will provide nuclear properties of short-lived neutron-deficient and neutron-rich isotopes with little to no available experimental data that are expected to have a considerable impact on modeling X-ray burst observables, on triggering processes responsible for the synthesis of many of the heavy elements present in the universe, and on providing a stringent test of fundamental symmetries in nature and physics beyond the Standard model."
0.413659,"Over the course of this five-year, young investigator award, the PI will investigate the prospects and problems of creating a global nuclear emergency response through an integrated research, education, and outreach program. The PI will generate a comprehensive map of existing nuclear disaster response experts and will bring these experts into conversation with each other through an international workshop and a cycle of interrelated graduate seminars. The PI will also investigate the historical dimensions of nuclear emergency expertise, to formulate and disseminate conclusions about what policies work (or don't), and to discover what types of expertise were used, needed, and valued in actual emergencies. This goal synthesizes lessons from past nuclear incidents and disasters, Cold War civil defense, and homeland security preparations for ""dirty bombs."" Under her supervision, students will engage in an oral history project with nuclear emergency responders to preserve a record of their experiences.<br/><br/><br/>This project will contribute to upper division undergraduate and graduate curriculum for nuclear engineering and graduate work in Science and Technology Studies whereby students will engage in policy-relevant research and active, reflexive learning, including developing publicly accessible web resources."
0.07,"Many important reactions in nuclear physics cannot be measured with currently available experimental techniques. For example, the reaction probability of the process in which two protons fuse to form a Deuteron (a bound state of a neutron and a proton) is an important process in the sun, but cannot be measured experimentally; only theoretical calculations can provide this rate. In the absence of guidance from experiment, it becomes important to quantify theoretical uncertainties. This project will address these issues for specific reactions. Analytical and numerical calculations will be used to determine reaction rates for astrophysically-relevant reaction rates, and new parametrizations of the internuclear interaction will be provided. Specifically, the PI and his students will use interactions that have been constructed using a theoretical tool known as effective field theory. This tool is an expansion that can be systematically improved by introducing, in a controlled manner, additional parameters to increase the accuracy of the interaction model. Numerical techniques will be used to determine the intrinsic error of this approach, parametrize the interaction, and calculate the reaction rates for selected processes. A quantification of resulting uncertainties will improve our understanding of the internuclear interaction. This project will also provide an excellent training ground for graduate and undergraduate students and will contribute to a needed workforce in those technologies that rely on nuclear physics, which are relevant to security, energy and the health care sector. Graduate students will become familiarized with numerical methods that can be useful when working in industry.<br/><br/>This project follows a two-prong strategy that aims at improving our understanding of weak processes using effective field theory. Firstly, a number of weak processes in few-nucleon systems will be calculated within the unified framework of the so-called pionless effective field theory. Specifically, the well-measured decay half-life time of tritium will be treated and used to fix a parameter that within this framework is required for a high-accuracy of proton-proton fusion and weak proton capture on Helium-3. The second prong will focus on understanding the intrinsic error of Hamiltonians and associated electroweak currents generated with the so-called pionfull effective field theory. The PI will use novel numerical optimization/fitting techniques to establish an ordering scheme for the chiral potential and the associated electroweak currents that reflects the intrinsic error of the Hamiltonian order-by-order. Together with his collaborators, the PI will then use these results to calculate observables such as half-life times or total decay rates to new accuracy and with correct error estimates. The resulting interactions and currents will be made available to the nuclear theory community."
