M$,NSF - Cosmology
0.01525,"This award will support collaborative research in physics between Dr. Robert Brandenberger, Brown University and Dr. Anne Christine Davis, University of Cambridge, England. The proposed research deals with the role which topological defects that arise in many particle physics models play in cosmology, and conversely, with the constraints that can be put on particle physics models by investigating their cosmological consequences. Topological defects are playing an increasing role in cosmology. They are invoked in many theories to explain the origin of galaxies, clusters and the large-scale structure of the universe. Specifically, it is proposed to study the microphysics of topological defects. Cosmological consequences of some non-standard particle physics models will also be explored. These studies may provide new information about the state of matter at energies which will never be accessible in accelerators. This project will benefit from the complementary expertise of the US investigator in cosmological applications and the experience in field theory of the British collaborator."
0.1,"Abstract: PHY - 0653563 <br/>Title: Connecting Fundamental Physics and Cosmology<br/>PI Mark Trodden<br/>Institution: Syracuse University<br/><br/>The case for cosmic acceleration presents cosmology with two of its most pressing problems: the magnitude of the dark energy, since the expected size of the cosmological constant is entirely inconsistent with observation; and the coincidence problem - why is the fraction of the critical density in dark energy is the same order of magnitude as that in matter today. These concerns join other fundamental unsolved problems - the nature of dark matter, the origin of the baryon asymmetry, and the fundamental origin of inflation or other physics of the early universe. A central part of the proposal is the development of a suite of tests to (a) establish the theoretical viability of dark energy and modified gravity models and (b) to distinguish such models from one another and from the default case of a cosmological constant. The P.I. will investigate the extent to which there are relationships between modified gravity and dark energy models; the P.I. will map out and explore the territory of possible modifications to gravity with the potential to drive late-time cosmic acceleration; and the P.I. will perform a general study of cosmological perturbation theory in modified source gravity and on a class of models in which the <br/>Gravitational action is a general function of curvature invariants. <br/>The P.I. further proposes to carry out a systematic and comprehensive analysis of coupled <br/>dark energy-matter models, focusing on the stability of these models. The P.I. also proposes a systematic study of the cosmological consequences of models arising <br/>from compactified higher dimensional theories of particle physics and gravity; in particular, whether there are specific signatures that might be accessible to future <br/>supernovae studies, lensing surveys, large-scale structure measurements and collider experiments. <br/>The dominant broader impact of the proposed research is in public science education; bringing cutting edge science to the public, including populations traditionally underrepresented in physics. <br/>The P.I. has been a co-P.I. on Cosmic Connections, an NSF-funded project to construct modern cosmology exhibits for display in the Milton J. Rubenstein Museum of Science and Technology in Syracuse. The P.I. also organizes a public lecture series - Saturday Morning Physics - to share the ideas and excitement of cutting edge modern physics with people with no previous science education. Further, the P.I. has co-founded and organizes Café Scientifique Syracuse. Held at a downtown restaurant, Cafe Scientifique is a place where scientists and scientifically interested non-scientists can come together informally to hear about and discuss interesting science."
0.045,"Flux Compactification of M-theory, Cosmology and the Standard Model of Elementary Particles <br/>PI: Melanie Becker <br/>Institution: University of Maryland <br/><br/>One of the goals of this proposal is to construct phenomenologically realistic models that can explain the small and positive cosmological constant recorded by the WMAP data, supernova observations and the HST data. Explaining the value of the cosmological constant has been a challenging problem for theoretical physics since ancient times. String theory does now have the basic tools to address this question very precisely as will be suggested in this proposal. With the same precision it is possible to address cosmology, inflation and the structure of our current universe. A crucial ingredient to answer these questions is string theory and M-theory compactifications with non-vanishing fluxes. Several projects will be suggested along this direction. Due to the duality between supergravity and strongly coupled gauge theories, important issues such as confinement in QCD could in principle be naturally described in this context. The proposed work largely explores the 'landscape' of string theory, the space of dynamically interesting string compactifications. This is an area of growing and long-term significance in string theory. The PI explores in this proposal new types of compactifications, namely heterotic M-theory and non-Kahler, whereas most earlier work has focused on the IIB flux models (which the PI also helped pioneer)."
0.458925,"AST- 0134999<br/>Max Tegmark<br/><br/>Dr. Tegmark is awarded funds at the University of Pennsylvania to refine current cosmological models. These models will make use of existing and new data that include observations of the cosmic microwave background, galaxy surveys, supernova surveys, and others. With global analysis of these data, he expects to be able to address the natures of dark matter and dark energy beyond just their current density, the behavior of gravity on large scales, the nature of the early universe, and the history of structure formation in the universe. <br/><br/>The PI will also initiate a high-school outreach program in the Philadelphia school district. The PI and graduate students will present lectures and demonstrations on cosmology to high-school science classes, hoping to recruit students into existing programs that typically reach only the affluent suburbs. In addition to his regular course development, the PI will also enhance his existing website on cosmology to contain a comprehensible introduction to state-of-the-art cosmology research in lay terms, intended for the general public."
0.804614,"Understanding the origin of our Universe remains a primary quest of astrophysicists, and such studies of cosmology advance our mastery of fundamental physics, which in turn leads to technological advances that accelerate our nation's economy. This project focuses on deep maps of cosmic microwave background (CMB) polarization that offer tremendous opportunities for cosmology and fundamental physics. Most cosmologists believe that the entire observable Universe was spawned in a fraction of a second by the superluminal ""inflation"" of a subnuclear volume. Inflation produced a cosmic gravitational background (CGB) that may be detectable now via the faint signature imprinted in ""B-mode"" patterns of degree-scale CMB polarization. Their amplitude directly measures the energy scale of the inflationary Big Bang. Detecting the polarization signature of the CGB may be the most important goal in cosmology today. At arcminute scales CMB polarization traces gravitational lensing from the high redshift Universe, measuring early dark energy and neutrino mass. Where they overlap, such measurements will allow delensing of inflationary CGB searches, enabling better constraints of inflationary physics.<br/><br/>The BICEP/SPUD series of experiments operating from the South Pole have pursued a targeted strategy toward this important science goal. BICEP1 produced the best current published upper limit on inflation from B-modes. Dr. Kovac is now principal investigator (PI) of the collaboration that fielded, operates, and analyzes data from BICEP2 and SPUD. The combined BICEP2/SPUD system concentrates its sensitivity on a small foreground-clean region to optimize the search for the CGB. As other CMB polarization surveys come online in the near future, demand will grow for joint analysis of overlapping maps. Given the major implications of a B-mode detection, any claim will need to be confirmed by rigorous map-level comparisons among independent experiments. Separation of polarized Galactic emission and removal of contributions of gravitational lensing to the B-mode signature also require the joint use of surveys. The study of dark energy and neutrinos and other science goals motivate correlation of CMB maps with optical and radio cosmological surveys.<br/><br/>This project seeks to share ultra-deep CMB polarization maps from SPUD, BICEP2, BICEP1, and DASI. It develops and disseminates complete data products and software tools that broaden the use and impact of those pathfinding surveys while setting what are expected to be useful standards for others to do the same. This project aims to derive the needed portable data products and software tools, to test them in key joint analyses of overlapping maps with external collaborators including SPT, to share them with the full astrophysics community, and to encourage independent reanalysis. Such reanalysis by the astrophysics community, strongly motivated by the science goals above, may also yield unanticipated discoveries.<br/><br/>This project integrates education with research by directly broadening the audience for CMB science. The PI will develop and share a portable curriculum based on a highly successful CMB discovery laboratory aimed at undergraduate students, which will be used across many undergraduate teaching institutions. The PI will also publish virtual tours of the early Universe and interactive deep CMB maps, which may directly image primordial gravitational waves, through the WorldWide Telescope, a web-based astronomy visualization tool used for public and secondary-school educational outreach. This project provides training for a graduate student and postdoctoral fellow who will work closely with the PI on these and other elements of the education and research plan."
0.01926,"This award will cover the second US-USSR summer workshop in cosmology. It will bring together 10 Soviet and 10 American young scientists to discuss topics in three branches of cosmology: quantum cosmology, physical processes in the early universe, and observational studies of the recent universe. The workshop will be held at the Aspen Center for Physics. Cosmology is currently an exciting topic, crossing normal disciplinary lines of science. This meeting will foster collaboration between the two countries' best young scientists."
0.013104,"This project is an ethnography of the social and cultural worlds of ;modern cosmology and cosmologists. A contribution to the emerging field of anthropology of science, it endeavors to open up new perspectives for studying the relationships between culture and knowledge production in scientific communities. Although cosmology is a traditional subject in anthropology, no one has of yet turned an anthropological eye to the making of our own culture's scientific cosmologies. The concept of cultural contact, central to this inquiry, will be used as a theoretical lens to investigate how researchers from very different scientific lifeworlds -- theoretical particle physics, observational astronomy, and theoretical astrophysics -- are interacting and negotiating with one another in constructing a picture of the origin and evolution of the universe. Methodologies will include 1) interviews; 2) observations of cosmologists in their work settings, e.g. research group meeting, informal lunchtime discussions, seminars, and national conferences; 3) analysis of the scientific literature, both technical and popular; and 4) examination of how institutional forms -- departments, journals, conferences, interdisciplinary centers -- are changing due to the interdisciplinary interactions in this field. %?¢??©Á?¢ ??%??` _/,Á?¢ />? ¥©Á ÀÁ>Á?/% ???%??"
0.251088,"AST- 0134999<br/>Max Tegmark<br/><br/>Dr. Tegmark is awarded funds at the University of Pennsylvania to refine current cosmological models. These models will make use of existing and new data that include observations of the cosmic microwave background, galaxy surveys, supernova surveys, and others. With global analysis of these data, he expects to be able to address the natures of dark matter and dark energy beyond just their current density, the behavior of gravity on large scales, the nature of the early universe, and the history of structure formation in the universe. <br/><br/>The PI will also initiate a high-school outreach program in the Philadelphia school district. The PI and graduate students will present lectures and demonstrations on cosmology to high-school science classes, hoping to recruit students into existing programs that typically reach only the affluent suburbs. In addition to his regular course development, the PI will also enhance his existing website on cosmology to contain a comprehensible introduction to state-of-the-art cosmology research in lay terms, intended for the general public."
0.386037,"AST-0708534<br/>Tegmark<br/><br/>Recent years have seen spectacular progress in cosmology. This project will continue research in cosmic phenomenology, developing improved analysis methods and using them to sharpen cosmological constraints and theoretical understanding. Better data from current and upcoming experiments will be used to improve knowledge about neutrinos, dark matter, dark energy and the early Universe. The key components of this research are: 1) cosmology with galaxy clustering, including using smaller scale information than before, for degeneracy breaking and consistency testing; 2) illuminating the ""dark ages"" by developing information theory based techniques for 21 cm tomography data analysis, for fast yet nearly lossless extraction of cosmological information, concerning both the epoch of reionization and fundamental physics; 3) theoretical and phenomenological calculations to strengthen the link between observations and the underlying theories and their free parameters. A common theme is the use of information theory based techniques to tackle the mathematical and statistical challenges posed by massive data sets, particularly for managing and modeling uncertainty.<br/><br/>Along with strengthening the foundation for the emerging standard model of cosmology, this research will develop broadly useful data and tools, which will promptly be made publicly available. The project trains students, and offers ample opportunities for public talks and other educational outreach. The origin, evolution and fate of the universe have long captivated the imagination of the general public, allowing for active work in both formal and informal public outreach."
0.25743,"Hewitt<br/>AST-0071181<br/><br/>The goal of this proposal is to use gravitational lensing of high redshift radio sources to study cosmology and the mass distribution within galaxies which act as lenses. The program has several aspects: (1) Use of the VLA to identify ~ 10 additional strong lenses in the south. 2) use of the VLA and VLBA to monitor several lenses to measure time delays, and thus constrain Ho (and with statistics on 10 or more sources) also constrain lambda (3) modeling of galaxy mass distributions, using new modeling techniques based on Taylor expansions of the gravitational potential and (4) searching for supermassive black holes in the centers of lensing galaxies intermediate z galaxies by imaging the expected faint second images of extended background radio galaxies with the VLBA. The lensing technique provides a method for determining Ho and lambda which is independent of the more classical magnitude distance methods.<br/><br/><br/>Gravitational lensing occurs when radiation from a background astrophysical source passes by a foreground massive object. A special case is ""strong lensing"" where more than one image of the background source is produced. Strong lensing provides a unique laboratory for probing mass distributions, the geometry of the space between the source and the observer (cosmology) This work will carry out studies of gravitational lensing with the goal of measuring the distance scale and probing the geometry of the universe, investigating the mass distribution in galaxies, and determining whether intermediate-redshift galaxies harbor supermassive black holes at their centers. To do this we need a large, well understood, sample of lenses. A large radio survey of the southern sky, aimed at identifying new gravitational lens systems, we expect to identify between 5 and 10 new lens systems. Applying lens systems to the astrophysics problems listed above requires several related observational and theoretical programs. With the goal of measuring time delays, monitoring observations of newly identified lens systems, and of some known systems for which time delays have not yet been measured, will be carried out. These time delay measurements provide distance estimates, which in turn provide information on the distance scale in the universe and constrain cosmological models. In particular, gravitational lens distance measurements may be used to test the recent claim, based on Type Ia Supernova measurements, that the expansion of the universe is accelerating. Mass distributions in lensing galaxies will be studied by applying a recently developed multipole-Taylor expansion of the gravitational potential to all lens systems, and by searching for faint second images of background sources that should be present if there are supermassive black holes at the galaxies' centers. Funding for this project was provided by the NSF program for Extragalactic Astronomy & Cosmology (AST/EXC).<br/>***"
0.026,"This research will determine appropriate new and innovative computer-intensive statistical procedures and apply them to samples of discrete extragalactic sources defined by objective criteria, and to their relations with the predictions of mathematical cosmologies. The probabilities of such deviations as may be observed, assuming the sample is unbiased and accepted cosmology is correct, will be estimated by Monte Carlo methods. Statisical acceptability of the chronometric and Friedman cosmological hypotheses will be tested by comparison of their predicted observable relations with those observed in complete, or other statistically objectively delineated, published samples. Computer applicable multivariate estimation for luminosity functions at several frequencies will be investigated. This research is cross-disciplinary, involving a symbiosis of Statistics with Computational Cosmology. The fields of Statistics, Lie Groups, Modern Analysis, Geometry, Relativity, and Cosmology are all scientifically relevant in an essential way to the testing, validation, and formulation of cosmological theories of the nature of the redshift and its objective statistical implications. Senior scientists from these fields, which are normally non-interacting, will combine their expertise in re-analyzing extragalactic data and retesting the redshift theory."
1.012,"This project is advancing the state of art in both computational cosmology and parallel computing simultaneously and synergetically. Breakthroughs in cosmology, which improve our understanding of the formation of galaxies and planets, are enabled by advances in parallel computing being made in this project. Parallel machines with over hundred thousand powerful processors are now being built. NSF's widely accessible TeraScale facilities have already deployed a 3,000 processor machine in 2001. At the same time algorithmic advances have made it possible to solve problems at a much faster rate. Yet the complexity of algorithms combined with the difficulty of parallelizing them on such large machines remains a hindrance to advances in Science and Engineering. This project explores an object based methodology that is simplifying the process of developing highly efficient parallel applications. This approach allows users to write applications at the level of natural entities in the application domain, without explicit regard to which processors will house such entities and<br/>carry out associated computations. To make this possible, the ""runtime system"" must be able to make fine-grained resource allocation decisions automatically. Advances in parallel computing are being sought to that end. Specifically, application developers may specify a program in terms of a collection of millions of objects that communicate with each other in several stylized patterns. In addition, parallel components can be plugged in and out of running computations, and exchange data with each other in a exible manner. Based on this infrastructure, this project is building a framework that makes it easy to build ""particle-oriented"" parallel programs. In addition to computational cosmology, which predomi-nately involves simulations that represent galaxies, dark matter, stars, planetary bodies and gas as particles, such programs are used in other fields as well. The framework contains highly efficient parallel algorithms that operate on collections of billions of particles, spread across machines with tens of thousands of processors. These advances are being used to carry out scientific studies in cosmology. Large, detailed simulations of structure formation powered by parallel computers are necessary to make quantitative predictions from cosmological theories. By calculating the non-linear gravitational and gas dynamics of the formation of galaxies and clusters of galaxies, we are creating galaxy catalogues, X-ray maps, and other observables that can be compared directly with new satellite and ground-based data, and thereby constrain the parameters of cosmological theories. These parameters include the amount and nature of the dark matter, the existence and equation of state of any dark energy, the total amount of baryons, and the nature of the initial uctuations in the Universe. Similar simulation studies are being used to study how planets form from a proto-solar disk in order to create an ab initio theory of planet formation. The software developed via this project is being made available to a wide community of researchers. Also, the research results of simulations can be downloaded or visualized via the web."
